* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: R
* Smoothing: None
* Frequency Step: 
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	
1550.0000	2.6164
1575.0000	2.7712
1600.0000	2.9001
1625.0000	3.0291
1650.0000	3.1839
1675.0000	3.3387
1700.0000	3.4934
1725.0000	3.674
1750.0000	3.8288
1775.0000	3.9836
1800.0000	4.1125
1825.0000	4.3447
1850.0000	4.4995
1875.0000	4.6542
1900.0000	4.7832
1925.0000	5.0154
1950.0000	5.1444
1975.0000	5.2475
2000.0000	5.4281
2030.0000	5.5829
2060.0000	5.7119
2090.0000	5.8666
2120.0000	5.944
2140.0000	6.073
2180.0000	6.2278
2200.0000	6.2536
2240.0000	6.3052
2270.0000	6.3568
2300.0000	6.4341
2330.0000	6.4599
2360.0000	6.5115
2400.0000	6.4857
2430.0000	6.4341
2470.0000	6.3826
2500.0000	6.3568
2540.0000	6.2794
2580.0000	6.1762
2620.0000	6.073
2650.0000	5.9698
2690.0000	5.8408
2720.0000	5.7635
2760.0000	5.6345
2800.0000	5.5055
2850.0000	5.3765
2900.0000	5.196
2950.0000	5.0928
3000.0000	4.938
3040.0000	4.8864
3070.0000	4.8348
3110.0000	4.7832
3150.0000	4.68
3200.0000	4.6542
3250.0000	4.6027
3300.0000	4.6027
3350.0000	4.6027
3400.0000	4.6027
3450.0000	4.6542
3500.0000	4.6542
3550.0000	4.7832
3600.0000	4.8864
3650.0000	5.0412
3700.0000	5.1186
3750.0000	5.3249
3820.0000	5.5313
3870.0000	5.7893
3950.0000	6.1504
4000.0000	6.2794
4060.0000	6.5631
4120.0000	6.8211
4180.0000	7.0017
4250.0000	7.1048
4310.0000	7.1822
4370.0000	7.1564
4440.0000	6.9243
4500.0000	6.6147
4550.0000	6.2536
4620.0000	5.8151
4680.0000	5.4539
4750.0000	4.809
4820.0000	4.2673
4870.0000	3.8804
4940.0000	3.2097
5000.0000	2.6938
5080.0000	2.2036
5150.0000	1.8683
5220.0000	1.3008
5300.0000	0.8881
5380.0000	0.3721
5450.0000	-0.1438
5520.0000	-0.3759
5600.0000	-0.8661
