* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1575.0000	2.2521
1600.0000	2.1398
1625.0000	2.1398
1650.0000	2.0275
1675.0000	1.9152
1700.0000	1.9152
1725.0000	1.9152
1750.0000	1.9152
1775.0000	1.9152
1800.0000	1.9152
1825.0000	1.9152
1850.0000	1.9152
1875.0000	1.8028
1900.0000	1.9152
1925.0000	1.9152
1950.0000	2.0275
1975.0000	2.0275
2000.0000	2.1398
2030.0000	2.1398
2060.0000	2.1398
2090.0000	2.1398
2120.0000	2.1398
2140.0000	2.1398
2180.0000	2.1398
2200.0000	2.2521
2240.0000	1.8028
2270.0000	2.2521
2300.0000	2.0275
2330.0000	2.1398
2360.0000	2.3645
2400.0000	2.3645
2430.0000	2.4206
2470.0000	2.4768
2500.0000	2.3645
2540.0000	2.2521
2580.0000	2.4206
2620.0000	2.3645
2650.0000	1.522
2690.0000	1.2973
2720.0000	1.1289
2760.0000	0.9042
2800.0000	0.6234
2850.0000	0.2864
2900.0000	-0.1629
2950.0000	-0.4437
3000.0000	-0.5561
3040.0000	-0.5561
3070.0000	-0.5561
3110.0000	-0.5561
3150.0000	-0.4437
3200.0000	-0.3314
3250.0000	-0.2191
3300.0000	-0.2191
3350.0000	-0.2191
3400.0000	-0.2191
3450.0000	-0.2191
3500.0000	-0.2191
3550.0000	-0.2191
3600.0000	-0.2191
3650.0000	-0.3314
3700.0000	-0.4437
3750.0000	-0.7246
3820.0000	-0.7807
3870.0000	-1.23
3950.0000	-1.567
4000.0000	-1.8478
4060.0000	-2.6341
4120.0000	-3.0273
4180.0000	-3.4766
4250.0000	-3.2519
4310.0000	-3.7013
4370.0000	-3.7013
4440.0000	-3.4766
4500.0000	-3.1396
4550.0000	-2.8026
4620.0000	-1.8478
4680.0000	-1.7355
4750.0000	-1.0054
4820.0000	-0.1629
4870.0000	0.1179
4940.0000	0.848
5000.0000	1.0727
5080.0000	1.522
5150.0000	1.9152
5220.0000	1.6905
5300.0000	2.0275
5380.0000	1.8028
5450.0000	2.0275
5520.0000	2.4206
5600.0000	2.7015
5700.0000	2.9261
5800.0000	2.7015
5900.0000	2.7015
6000.0000	3.0384
6080.0000	3.2069
6150.0000	3.4316
6220.0000	3.7124
6300.0000	4.1617
6400.0000	4.7234
6500.0000	5.5658
6600.0000	6.0713
6700.0000	6.5206
6800.0000	7.1946
6900.0000	7.7001
7000.0000	8.2055
7100.0000	8.5425
7200.0000	8.5987
7300.0000	8.2055
7400.0000	7.5877
7500.0000	6.6891
7620.0000	5.2288
7750.0000	4.2179
7880.0000	2.7576
8000.0000	2.0275
8120.0000	1.0727
8250.0000	0.6234
8380.0000	0.2864
8500.0000	0.0056
8620.0000	0.0056
8750.0000	0.0056
8850.0000	0.0617
9000.0000	0.5672
9120.0000	0.5672
9250.0000	0.7919
9380.0000	0.9042
9500.0000	0.9042
9620.0000	0.9042
9750.0000	0.7919
9880.0000	0.7357
10000.0000	0.3987
10150.0000	0.0056
10300.0000	-0.8369
10440.0000	-1.9602
10600.0000	-3.2519
10750.0000	-5.1615
10900.0000	-5.9478
11060.0000	-6.2286
11200.0000	-5.7793
11380.0000	-5.0492
11500.0000	-3.8698
11720.0000	-1.7917
11800.0000	-1.1177
12060.0000	0.7357
12200.0000	1.0165
12410.0000	0.1179
12500.0000	-0.3314
12650.0000	-1.7355
12800.0000	-3.2519
13150.0000	-6.4533
13200.0000	-7.0711
13400.0000	-7.7451
13600.0000	-8.6437
13800.0000	-10.5533
14000.0000	-12.2382
14300.0000	-14.1478
