* Measurement data measured by REW V5.20 Beta 47
* Source:
* Format:
* Dated:
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 
* Note: ; 
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1500.0000	-4.4876
1525.0000	-4.3191
1550.0000	-4.0944
1575.0000	-3.9821
1600.0000	-3.7574
1625.0000	-3.6451
1650.0000	-3.5328
1675.0000	-3.3081
1700.0000	-3.0835
1725.0000	-2.8588
1750.0000	-2.6341
1775.0000	-2.4095
1800.0000	-2.1848
1825.0000	-2.0163
1850.0000	-1.8478
1875.0000	-1.6232
1900.0000	-1.3424
1925.0000	-1.1177
1950.0000	-0.8369
1975.0000	-0.5561
2000.0000	-0.2191
2030.0000	-0.0506
2060.0000	0.1741
2090.0000	0.3987
2120.0000	0.6234
2140.0000	0.7357
2180.0000	1.0165
2200.0000	1.185
2240.0000	1.2973
2270.0000	1.4097
2300.0000	1.6343
2330.0000	1.859
2360.0000	1.9713
2400.0000	2.196
2430.0000	2.3083
2470.0000	2.6453
2500.0000	2.7576
2540.0000	2.8699
2580.0000	2.9823
2620.0000	3.0946
2650.0000	3.2069
2690.0000	3.3193
2720.0000	3.4316
2760.0000	3.5439
2800.0000	3.6562
2850.0000	3.7686
2900.0000	3.8809
2950.0000	3.9371
3000.0000	3.9371
3040.0000	3.8809
3070.0000	3.7686
3110.0000	3.6562
3150.0000	3.4316
3200.0000	3.2631
3250.0000	2.8138
3300.0000	2.4768
3350.0000	1.9713
3400.0000	1.6905
3450.0000	1.3535
3500.0000	1.0727
3550.0000	0.7919
3600.0000	0.6234
3650.0000	0.511
3700.0000	0.2302
3750.0000	0.0056
3820.0000	-0.5561
3870.0000	-0.8369
3950.0000	-1.3424
4000.0000	-1.6232
4060.0000	-1.6232
4120.0000	-3.1958
4180.0000	-3.6451
4250.0000	-4.0944
4310.0000	-4.3191
4370.0000	-4.4314
4440.0000	-4.2629
4500.0000	-3.9259
4550.0000	-3.3643
4620.0000	-2.6903
4680.0000	-1.9602
4750.0000	-1.567
4820.0000	0.1741
4870.0000	0.3987
4940.0000	1.185
5000.0000	1.522
5080.0000	2.0836
5150.0000	2.3083
5220.0000	2.4206
5300.0000	2.4206
5380.0000	2.4206
5450.0000	2.533
5520.0000	2.7015
5600.0000	2.8699
5700.0000	2.9823
5800.0000	2.9823
5900.0000	2.9823
6000.0000	2.9823
6080.0000	3.0946
6150.0000	3.3193
6220.0000	3.5439
